       filename   nodenumber boundarynode   modelwidth   modeldepth 
   170616095601       362051        65552       100000        40000
   170617115859       362051        65552       100000        40000
   170617121916       362051        65552       100000        40000
   170617122212       362051        65552       100000        40000
   170617122534       362051        65552       100000        40000
   170618104248       362051        65552       100000        40000
   170621200649       293885        65552        50000        35000
   170621201855       293885        65552        50000        35000
   170621202337       293885        65552        50000        35000
   170621203143       293885        65552        50000        35000
   170621203921       338501        65552        50000        35000
   170621204109       338501        65552        50000        35000
   170621210056       338501        65552        50000        35000
   170622113918       338501        65552        50000        35000
   170622114153       338501        65552        50000        35000
   170622222237       472502        65537        50000        35000
   170625173123       472502        65537        50000        35000
   170625174123       486447        65537        50000        35000
   170627125639       607517        65552        50000        35000
   170628192818      1011687        65552        50000        35000
   170707184716       159295          518        50000        80000
   170707185738       186685         8193        50000        80000
   170707200106      1622154       131073        50000        80000
   170716151040      1605281       131073        50000        75000
   170717192605      1617297       131073        50000        80000
   170718122338      1619584       131072        50000        80000
   170806193344      1646901       131073        50000        75000
   170823195258      1645566       131073        50000        75000
   170906041105      2215109       131073        50000        75000
   170906163345      2214705       131073        50000        75000
   170929215711      2206009       131073        50000        70000
   171009171135      2201538       131073        50000        65000
